name;stars;pr merged;main language;releases;age in days;minutes w/o update;% closed issues;id
pandas;38121;22235;Python;96;4629;11.597092216666665;86.0;280
uni-app;38019;212;JavaScript;0;1750;41.19709241666667;74.0;281
node;37962;28;Shell;9;85;5.063759283333334;100.0;282
yolov5;37921;1931;Python;10;1074;3.73042615;97.0;283
act;37815;684;Go;53;1576;12.48042635;88.0;284
discourse;37770;18238;Ruby;0;3757;50.86375988333334;0.0;285
grpc;37749;17714;C++;245;3062;94.41376008333333;94.0;286
CppCoreGuidelines;37679;763;Python;4;2808;47.06376028333333;81.0;287
rustlings;37619;661;Rust;35;2781;15.730427166666667;80.0;288
ripgrep;37499;453;Rust;66;2603;19.180427366666667;90.0;289
Leaflet;37409;2799;JavaScript;30;4600;157.89709425;93.0;290
edex-ui;37379;399;JavaScript;29;2280;18.313761133333333;99.0;291
python-patterns;37235;262;Python;0;3977;386.66376133333335;89.0;292
front-end-interview-handbook;37217;221;JavaScript;0;1930;117.56376155;84.0;293
zx;37188;105;JavaScript;56;722;323.51376175;90.0;294
impress.js;37187;115;JavaScript;15;4138;2609.1470952833333;88.0;295
core;37147;1941;TypeScript;148;1780;40.3970955;85.0;296
terraform;37075;10643;Go;246;3332;8.663762366666667;92.0;297
Motrix;37005;183;JavaScript;17;1591;9.563762566666666;47.0;298
vuetify;36965;3352;TypeScript;474;2418;49.16376278333333;90.0;299
fastlane;36894;5983;Ruby;531;3068;310.44709635;98.0;300
hexo;36665;838;JavaScript;108;3868;135.88042988333333;98.0;301
dive;36583;115;Go;24;1810;54.76376341666666;54.0;302
react-use;36551;1494;TypeScript;249;1643;53.230430299999995;42.0;303
what-happens-when;36520;108;;0;3458;30.147097166666665;19.0;304
freecodecamp.cn;36471;55;CSS;0;2400;2273.2804306999997;76.0;305
MPAndroidChart;36391;190;Java;44;3289;225.24709756666667;59.0;306
bypass-paywalls-chrome;36367;131;JavaScript;33;1846;25.21376443333333;100.0;307
awesome-java;36249;646;;0;3214;152.31376465;98.0;308
hiring-without-whiteboards;36197;1176;JavaScript;0;2234;23.263764849999998;0.0;309
gitea;36164;11856;Go;165;2368;31.16376505;81.0;310
meilisearch;36021;1298;Rust;135;1830;137.13043193333334;92.0;311
powerlevel10k;35849;130;Shell;30;1523;28.3470988;99.0;312
brew;35798;9227;Ruby;302;2608;59.330432333333334;99.0;313
FFmpeg;35792;16;C;0;4396;36.880432533333334;0.0;314
nocodb;35643;1793;TypeScript;94;2006;5.9970994;81.0;315
spark;35611;5;Scala;0;3348;38.51376626666667;0.0;316
joplin;35592;2008;TypeScript;282;2292;17.16376646666667;94.0;317
joplin;35592;2008;TypeScript;282;2292;17.163719066666665;94.0;318
gpt4all;35548;31;Python;0;31;4.2971;31.0;319
gpt4all;35548;31;Python;0;31;4.297052616666666;31.0;320
awesome-react-components;35521;298;;0;2498;32.613766866666666;100.0;321
uBlock;35480;219;JavaScript;277;2948;21.030433733333332;100.0;322
video.js;35421;1606;JavaScript;284;4731;134.83043393333335;92.0;323
video.js;35421;1606;JavaScript;284;4731;134.83038615;92.0;324
php-src;35377;1590;C;0;4333;21.480434633333335;76.0;325
php-src;35377;1590;C;0;4333;21.48038635;76.0;326
Rocket.Chat;35370;10203;TypeScript;770;2900;25.680434833333333;83.0;327
30-Days-Of-JavaScript;35360;97;JavaScript;0;1221;93.21376836666667;46.0;328
quill;35317;239;JavaScript;82;3923;7.7471019000000005;60.0;329
ailearning;35280;475;Python;2;2252;52.9971021;97.0;330
esbuild;35195;210;Go;241;2508;69.66376898333333;89.0;331
esbuild;35195;210;Go;241;2508;69.66371989999999;89.0;332
cheat.sh;35177;122;Python;0;2181;40.497053433333335;54.0;333
cheat.sh;35177;122;Python;0;2181;40.49710251666667;54.0;334
Deep-Learning-Papers-Reading-Roadmap;35149;28;Python;0;2386;16.747102716666667;8.0;335
slate;35123;291;SCSS;28;3513;367.14710291666665;92.0;336
kubernetes-the-hard-way;35109;69;;0;2485;98.08043645;78.0;337
open-source-mac-os-apps;35105;516;;0;2001;193.13043664999998;77.0;338
swiper;34974;536;JavaScript;40;4061;71.81377018333333;96.0;339
interview_internal_reference;34779;35;Python;0;1417;74.78038696666667;40.0;340
interview_internal_reference;34779;35;Python;0;1417;74.78043705;40.0;341
kong;34707;4188;Lua;129;3083;7.73043725;96.0;342
whisper;34663;72;Python;6;223;12.030387183333334;0.0;343
whisper;34663;72;Python;6;223;12.030437449999999;0.0;344
json;34643;668;C++;43;3584;30.23043765;97.0;345
react-hook-form;34577;1795;TypeScript;516;1514;49.19710451666666;100.0;346
react-hook-form;34577;1795;TypeScript;516;1514;49.19705405;100.0;347
Magisk;34566;1243;C++;128;2422;44.413771383333334;100.0;348
Magisk;34566;1243;C++;128;2422;44.41372093333334;100.0;349
node-v0.x-archive;34557;218;;0;5083;368.1637715833333;100.0;350
open-source-ios-apps;34540;738;;37;3013;193.09710511666665;100.0;351
styleguide;34518;149;HTML;0;2899;69.19710531666666;38.0;352
fullPage.js;34511;296;JavaScript;87;3506;231.34710551666666;96.0;353
lerna;34505;819;TypeScript;209;2701;94.63043908333334;88.0;354
jeecg-boot;34431;17;Java;27;1613;195.3304393;100.0;355
awesome-chatgpt-prompts-zh;34382;26;;0;136;6.447106166666667;65.0;356
preact;34315;1455;JavaScript;182;2785;12.363773033333333;91.0;357
jadx;34309;377;Java;28;3692;111.4804399;78.0;358
wrk;34296;0;C;0;4055;93.94710676666666;67.0;359
lazygit;34290;938;Go;138;1804;41.630440300000004;68.0;360
query;34273;1336;TypeScript;522;1325;29.630440500000002;98.0;361
awesome-rust;34192;1168;Rust;0;3206;7.813774033333333;92.0;362
phaser;34170;1575;JavaScript;139;3667;50.4304409;98.0;363
drawio;34123;32;JavaScript;736;2424;9.3304411;89.0;364
ant-design-pro;34118;929;TypeScript;26;2071;162.16377463333336;97.0;365
hackathon-starter;34092;310;JavaScript;14;3452;357.21377483333333;99.0;366
bert;34061;32;Python;0;1645;111.21377503333333;31.0;367
AppFlowy;34054;1108;Rust;28;680;18.4304419;51.0;368
sentry;34048;36227;Python;102;4623;28.813775433333333;87.0;369
tutorials;34005;9591;Java;0;3650;11.063775633333334;96.0;370
ChatGPT;33955;110;Rust;32;141;9.0804425;44.0;371
tidb;33953;23013;Go;169;2790;69.1804427;79.0;372
koa;33935;468;JavaScript;0;3568;37.09710956666667;96.0;373
starship;33932;2316;Rust;120;1486;150.0804431;77.0;374
monaco-editor;33863;332;JavaScript;0;2515;16.4304433;90.0;375
lottie-android;33831;593;Java;44;2394;175.1804435;98.0;376
tabler;33826;373;HTML;39;1911;176.81377703333334;92.0;377
og-aws;33761;498;Shell;0;2479;7.41377725;38.0;378
deeplearningbook-chinese;33688;16;TeX;7;2332;315.46377745;69.0;379
JavaFamily;33650;2;;0;1262;463.91377765;98.0;380
shadowsocks-android;33639;249;Kotlin;184;3784;25.66377785;99.0;381
glide;33554;456;Java;44;3580;293.11377805;91.0;382
brackets;33459;4333;JavaScript;69;4159;1068.4971115833334;73.0;383
v;33454;8511;V;148;1539;72.06377845;88.0;384
nativefier;33430;256;TypeScript;96;2853;67.04711198333334;81.0;385
shadowsocks;33353;70;Python;2;4024;718.51377885;0.0;386
AFNetworking;33342;710;Objective-C;40;4349;367.8804457166667;0.0;387
awesome-cheatsheets;33333;157;JavaScript;0;1995;153.69711258333334;64.0;388
pure-bash-bible;33311;28;Shell;0;1779;39.94711278333333;45.0;389
caffe;33296;1087;C++;14;3514;20.76377965;81.0;390
first-contributions;33261;55724;;0;2410;73.38044651666668;94.0;391
type-challenges;33225;470;TypeScript;0;1008;9.897113383333334;9.0;392
Made-With-ML;33120;140;Jupyter Notebook;0;1634;34.09711358333333;98.0;393
clipboard.js;33112;117;JavaScript;42;2778;88.89711378333332;99.0;394
iina;33111;525;Swift;40;2320;38.06378065;56.0;395
istio;32882;21184;Go;290;2351;110.41378085;97.0;396
taro;32818;2612;TypeScript;146;1845;42.49711438333333;91.0;397
awesome-react-native;32798;912;JavaScript;0;2954;414.4471145833333;53.0;398
gulp;32746;396;JavaScript;22;3584;1792.4804481166668;99.0;399
sheetjs;32734;106;JavaScript;0;3797;253.81378164999998;95.0;400
the-way-to-go_ZH_CN;32616;592;Go;0;3686;19.863781850000002;0.0;401
wtfpython;32583;94;Python;2;2068;62.63044873333333;67.0;402
uptime-kuma;32581;724;JavaScript;83;663;18.0971156;61.0;403
langchain;32562;1918;Python;89;192;5.2971158;31.0;404
immutable-js;32553;462;TypeScript;68;3221;392.7804493333333;92.0;405
leveldb;32535;61;C++;21;3165;89.86378286666667;73.0;406
chakra-ui;32460;2152;TypeScript;1000;1349;6.480449733333333;97.0;407
955.WLB;32454;18;;0;1492;402.5637832666667;30.0;408
carbon;32390;646;JavaScript;215;2141;261.33045013333333;94.0;409
